Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
ICICI Prudential Corporate Bond Fund,ICICI,INE033L07IN3,,20097.66,0.0060701324662,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE507T07062,,19988.06,0.0060370297807,0,,2000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QV7,,19880.27,0.0060044737727,0,,19500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07MW4,,19414.03,0.0058636544654,0,,1900.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KT6,,19321.75,0.0058357829707,0,,19000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QW5,,18818.96,0.0056839244009,0,,18500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE062A08256,,18090.14,0.005463797583,0,,1815.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE941D07208,,18011.72,0.0054401122491,0,,1800.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE153A08170,,17504.5,0.0052869156785,0,,17500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE915D08CY6,,17005.44,0.0051361836873,0,,17000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08DT7,,16432.42,0.0049631134241,0,,1650.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE153A08089,,16171.23,0.0048842257378,0,,1667.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KH1,,16142.83,0.0048756480346,0,,16000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07249,,15525.59,0.0046892219251,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE016A08021,,15165.17,0.004580363623,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EL2,,15113.3,0.0045646972335,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE975F07ID8,,15100.79,0.0045609188156,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EF4,,15100.41,0.0045608040435,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE535H07CG2,,15044.33,0.0045438661001,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KP4,,13768.5,0.0041585248661,0,,13500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07NP6,,13677.24,0.0041309614438,0,,1300.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE483Z08012,,13533.55,0.0040875624942,0,,13700.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07NU6,,13176.91,0.0039798458723,0,,1250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EB4,,12980.03,0.0039203818512,0,,12850.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EO7,,12760.5,0.0038540768097,0,,12500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08MT1,,12643.91,0.0038188629219,0,,12500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE213W07319,,12482.46,0.0037700998874,0,,12500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE062A08264,,12431.04,0.0037545694122,0,,1250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE01XX07059,,12214.66,0.0036892157708,0,,12000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE031A08871,,12132.29,0.0036643374113,0,,12000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07PV9,,11707.53,0.0035360463831,0,,1150.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KM1,,11207.9,0.0033851422338,0,,11000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE775A08089,,11070.02,0.003343498089,0,,11000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08ES7,,10868.26,0.0032825601526,0,,10750.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QN4,,10744.87,0.0032452924486,0,,10500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08435,,10405.99,0.0031429399115,0,,100.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE775A08097,,10311.65,0.0031144462313,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KL3,,10309.47,0.0031137878019,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QX3,,10219.41,0.0030865868179,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE507T07112,,10189.26,0.003077480559,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08ED0,,10163.26,0.0030696277322,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE831R07425,,10150.08,0.003065646953,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE033L07IK9,,10140.87,0.0030628652401,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07KM9,,10117.12,0.0030556919848,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08MC7,,10115.79,0.0030552902825,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KF5,,10052.0,0.0030360236739,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE071G07843,,9994.42,0.0030186326827,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE071G07777,,9962.91,0.0030091156606,0,,10000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08914,,9948.77,0.003004844931,0,,9500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08DF6,,9470.85,0.0028604978921,0,,950.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08FA2,,9156.81,0.002765647825,0,,9000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE535H07CK4,,8604.37,0.0025987933763,0,,8500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KN9,,8156.25,0.0024634468852,0,,8000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08427,,8141.65,0.0024590372209,0,,78.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE033L07HZ9,,8073.13,0.0024383420018,0,,8000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QH6,,7806.28,0.0023577448154,0,,750.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EW9,,7628.53,0.0023040586626,0,,7500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07LO3,,7628.19,0.0023039559718,0,,750.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE062A08447,,7613.2,0.0022994285151,0,,75.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE213W07293,,7594.34,0.0022937321953,0,,7500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE041007175,,7536.83,0.0022763623464,0,,7500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EI9,,7144.3,0.0021578058031,0,,7000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07PF2,,6460.08,0.0019511496036,0,,650.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08FC8,,6075.21,0.0018349066239,0,,6000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08DH2,,5481.34,0.0016555389976,0,,550.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07017,,5153.99,0.0015566688873,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE103D08054,,5121.59,0.0015468830569,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07108,,5110.48,0.0015435274836,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08AH8,,5107.13,0.001542515677,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EK4,,5101.5,0.001540815238,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07074,,5097.67,0.0015396584562,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07090,,5085.82,0.0015360793793,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07082,,5085.09,0.0015358588961,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07066,,5082.14,0.0015349679023,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07058,,5065.48,0.0015299360525,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08FH7,,5062.13,0.0015289242459,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07033,,5052.54,0.0015260277609,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EI8,,5050.29,0.0015253481894,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07025,,5049.49,0.0015251065639,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08ML8,,5049.29,0.0015250461576,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07041,,5047.05,0.0015243696063,0,,481.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE031A08855,,5036.82,0.001521279821,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE041007167,,5022.44,0.0015169366037,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KE8,,5017.22,0.0015153599977,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE667F07JA5,,5013.34,0.0015141881143,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08FZ9,,5001.38,0.001510575814,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE01XX07042,,4626.49,0.0013973471117,0,,4500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08II2,,4550.24,0.0013743171868,0,,450.0,2025-07-31
