Fund_Name,Total_Holdings,Total_Value_Lacs,Avg_Yield,Weighted_Avg_Yield,Top_Rating_Pct,Top_10_Concentration
HDFC Corporate Bond Fund,228,3486917.8299999996,6.858396475770926,6.890880848755603,78.42284800843731,23.730000000000004
ICICI Corporate Bond Fund,199,3177005.4600000004,6.832727272727273,6.854034368060114,78.60429487584197,28.48364036364
ABSLF Corporate Bond Fund,224,2799722.12,6.843451098654708,6.90040560423175,74.7403120849722,37.00799116798904
SBI Corporate Bond Fund,101,2402571.5,6.939160155445545,6.911372323922042,79.32677633111022,35.400000000000006
KOTAK Corporate Bond Fund,122,1713300.34,7.055619834710744,6.8816169721430756,79.72636659839803,29.98
NIPPON Corporate Bond Fund,139,961587.31,6.851615942028985,6.834525961282363,76.89743014599475,25.46
